title,avg_rating,num_ratings,category
'Til There Was You (1997),2.3333333333333335,9,Flop
1-900 (1994),2.6,5,Flop
101 Dalmatians (1996),2.908256880733945,109,Overhyped
12 Angry Men (1957),4.344,125,Blockbuster
187 (1997),3.024390243902439,41,Flop
2 Days in the Valley (1996),3.225806451612903,93,Flop
"20,000 Leagues Under the Sea (1954)",3.5,72,Flop
2001: A Space Odyssey (1968),3.969111969111969,259,Overhyped
3 Ninjas: High Noon At Mega Mountain (1998),1.0,5,Flop
"39 Steps, The (1935)",4.0508474576271185,59,Hidden Gem
8 1/2 (1963),3.8157894736842106,38,Flop
8 Heads in a Duffel Bag (1997),3.25,4,Flop
8 Seconds (1994),3.75,4,Flop
A Chef in Love (1996),4.125,8,Hidden Gem
Above the Rim (1994),3.0,5,Flop
Absolute Power (1997),3.37007874015748,127,Overhyped
"Abyss, The (1989)",3.589403973509934,151,Overhyped
Ace Ventura: Pet Detective (1994),3.0485436893203883,103,Overhyped
Ace Ventura: When Nature Calls (1995),2.675675675675676,37,Flop
Across the Sea of Time (1995),2.75,4,Flop
Addams Family Values (1993),2.8160919540229883,87,Flop
Addicted to Love (1997),3.1666666666666665,54,Flop
"Addiction, The (1995)",2.1818181818181817,11,Flop
"Adventures of Pinocchio, The (1996)",3.051282051282051,39,Flop
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5945945945945947,111,Overhyped
"Adventures of Robin Hood, The (1938)",3.791044776119403,67,Flop
"Affair to Remember, An (1957)",4.1923076923076925,26,Hidden Gem
"African Queen, The (1951)",4.184210526315789,152,Blockbuster
Afterglow (1997),3.111111111111111,18,Flop
"Age of Innocence, The (1993)",3.3846153846153846,65,Flop
Aiqing wansui (1994),5.0,1,Hidden Gem
Air Bud (1997),2.558139534883721,43,Flop
Air Force One (1997),3.6310904872389793,431,Overhyped
"Air Up There, The (1994)",2.8125,16,Flop
Airheads (1994),2.34375,32,Flop
Akira (1988),3.38,50,Flop
Aladdin (1992),3.8127853881278537,219,Overhyped
Aladdin and the King of Thieves (1996),2.8461538461538463,26,Flop
Alaska (1996),2.6923076923076925,13,Flop
Albino Alligator (1996),2.5,6,Flop
Alice in Wonderland (1951),3.6666666666666665,81,Flop
Alien (1979),4.034364261168385,291,Blockbuster
Alien 3 (1992),2.83,100,Overhyped
Alien: Resurrection (1997),3.096774193548387,124,Overhyped
Aliens (1986),3.9471830985915495,284,Overhyped
All About Eve (1950),4.045454545454546,66,Hidden Gem
All Dogs Go to Heaven 2 (1996),1.8666666666666667,15,Flop
All Over Me (1997),3.0,3,Flop
All Things Fair (1996),3.0,1,Flop
Alphaville (1965),3.3333333333333335,12,Flop
Amadeus (1984),4.163043478260869,276,Blockbuster
Amateur (1994),3.1666666666666665,18,Flop
"Amazing Panda Adventure, The (1995)",2.8,10,Flop
American Buffalo (1996),2.6363636363636362,11,Flop
American Dream (1990),2.5,2,Flop
"American President, The (1995)",3.6280487804878048,164,Overhyped
American Strays (1996),2.0,2,Flop
"American Werewolf in London, An (1981)",3.5353535353535355,99,Flop
"American in Paris, An (1951)",3.7,50,Flop
Amistad (1997),3.8548387096774195,124,Overhyped
Amityville 1992: It's About Time (1992),1.0,5,Flop
